377,220,27,84
385,218,22,89
384,223,26,90
380,228,34,85
381,230,36,84
377,232,40,84
375,236,49,82
369,237,56,80
372,241,51,76
368,241,56,77
365,238,53,79
366,244,49,73
363,245,50,71
362,248,51,71
364,245,45,75
360,248,45,74
362,245,34,78
360,245,31,73
358,243,24,79
350,241,24,78
340,241,27,80
336,241,29,76
329,239,34,78
325,241,37,71
329,240,38,72
332,238,46,74
337,241,47,68
338,235,53,75
340,241,54,73
342,245,55,70
349,244,50,73
353,244,48,73
354,241,48,76
354,241,47,82
361,241,43,80
368,241,36,81
374,243,32,82
381,243,27,78
384,244,25,80
382,244,29,77
378,245,41,77
381,245,44,74
375,243,58,78
374,241,58,80
375,236,62,85
377,243,64,74
384,238,61,89
389,237,66,87
401,238,58,82
408,238,54,81
417,237,46,83
429,240,42,75
442,238,31,76
450,236,27,81
454,237,27,81
455,238,35,75
455,239,46,74
453,239,54,70
455,242,58,67
452,237,65,71
446,235,71,73
443,236,72,75
444,236,69,75
445,237,65,74
448,239,61,74
449,240,59,74
457,240,48,77
463,241,41,74
472,243,30,72
477,243,26,77
481,248,23,73
481,248,26,78
478,254,38,70
475,257,46,68
477,255,50,74
476,254,50,79
475,257,53,72
472,254,55,78
471,253,49,76
470,251,45,81
469,249,38,81
466,247,31,77
462,244,26,75
455,241,26,76
446,238,23,74
433,238,34,71
424,239,41,66
413,237,48,68
404,235,50,61
393,232,56,59
388,229,59,63
379,227,66,59
372,225,67,63
367,222,63,68
363,225,61,63
355,223,60,67
348,224,54,65
343,226,46,66
336,228,39,65
328,229,36,67
321,237,26,64
312,239,21,64
295,242,28,65
280,245,37,63
262,245,47,68
251,245,54,70
237,245,63,74
233,250,64,64
229,245,65,74
229,241,61,72
228,238,61,69
229,237,53,67
230,230,49,67
233,229,40,64
245,225,27,62
253,221,19,68
254,219,26,64
254,214,35,67
255,209,42,71
259,203,48,76
266,201,51,79
274,197,51,83
285,196,52,85
296,193,51,88
308,192,46,89
325,195,44,85
341,193,36,83
357,193,32,83
374,193,25,81
382,192,39,79
393,191,48,78
401,192,56,75
409,191,64,78
417,186,69,84
429,186,65,81
437,180,66,85
448,181,64,85
459,177,50,88
469,177,42,83
482,178,35,76
493,176,28,80
492,181,35,72
490,181,51,68
491,182,56,61
486,184,70,54
489,185,76,56
487,182,86,57
494,181,82,57
493,180,84,56
497,180,79,59
500,179,69,60
502,175,60,66
498,173,57,69
501,171,44,71
501,173,28,71
495,171,28,74
484,168,33,77
473,173,47,70
463,171,54,70
454,174,58,71
445,176,63,69
437,174,62,71
429,177,63,70
427,174,58,72
425,173,53,76
426,173,49,78
433,176,35,76
434,174,27,76
433,175,21,78
430,179,27,74
421,177,40,72
413,180,48,68
408,182,55,69
405,184,62,68
401,183,68,72
401,185,65,68
397,184,72,73
400,185,65,75
402,184,61,81
405,182,54,87
410,184,43,84
414,187,35,83
417,186,26,83
419,190,30,80
416,187,39,83
416,188,53,80
406,193,65,74
405,194,71,74
403,194,74,72
405,193,78,74
407,193,79,76
417,191,74,78
426,187,69,82
436,184,56,80
449,181,43,80
459,181,31,81
470,181,23,80
468,180,39,76
464,182,56,71
466,182,65,68
466,184,73,62
465,183,82,62
463,184,86,57
461,182,84,58
462,180,86,61
461,179,80,60
467,178,74,67
470,178,67,68
475,174,51,72
477,176,44,74
479,174,32,76
480,173,24,82
470,173,33,82
460,175,39,78
447,177,53,79
439,181,58,75
425,181,63,77
414,182,62,75
401,185,63,70
394,182,60,73
384,181,55,76
376,186,47,72
369,187,39,74
362,189,34,72
357,189,23,76
349,192,25,72
339,193,33,71
328,193,38,69
316,191,49,67
307,192,54,65
295,189,62,67
288,191,62,64
278,189,65,68
270,190,68,68
265,189,60,69
257,190,60,71
249,189,59,72
249,191,47,70
242,189,43,75
243,193,27,72
237,194,26,72
235,196,21,73
